City,Country,Continent,Population 2023,Population 2024,Growth Rate
Toluca De Lerdo,Mexico,North America,2626368,2674336,0.0183
Luoyang,China,Asia,2602793,2666744,0.0246
Sapporo,Japan,Asia,2666112,2660947,-0.0019
Tashkent,Uzbekistan,Asia,2603243,2633661,0.0117
Patna,India,Asia,2579762,2633243,0.0207
Bhopal,India,Asia,2564502,2624865,0.0235
Chicago,United States,North America,2627520,2590002,-0.0143
Tangerang,Indonesia,Asia,2514077,2570980,0.0226
Nantong,China,Asia,2492230,2555722,0.0255
Brisbane,Australia,Oceania,2504505,2536449,0.0128
Tunis,Tunisia,Africa,2475446,2510673,0.0142
Peshawar,Pakistan,Asia,2411785,2480546,0.0285
Medan,Indonesia,Asia,2439054,2479070,0.0164
Gujranwala,Pakistan,Asia,2415416,2479058,0.0263
Baku,Azerbaijan,Asia,2432304,2464162,0.0131
Hohhot,China,Asia,2380636,2443686,0.0265
San Juan,Puerto Rico,North America,2439564,2436620,-0.0012
Belem,Brazil,South America,2409409,2432177,0.0094
Rawalpindi,Pakistan,Asia,2377325,2430388,0.0223
Agra,India,Asia,2367554,2422342,0.0231
Manaus,Brazil,South America,2375636,2406854,0.0131
Kannur,India,Asia,2346137,2405664,0.0254
Beirut,Lebanon,Asia,2421354,2402485,-0.0078
Maracaibo,Venezuela,South America,2367626,2400826,0.014
Liuzhou,China,Asia,2343452,2397410,0.023
Visakhapatnam,India,Asia,2330928,2385110,0.0232
Baotou,China,Asia,2334878,2381242,0.0199
Vadodara,India,Asia,2324084,2373365,0.0212
Barranquilla,Colombia,South America,2349400,2373302,0.0102
Phnom Penh,Cambodia,Asia,2281198,2352680,0.0313
Sendai,Japan,Asia,2342302,2341433,-0.0004
Taoyuan,Taiwan,Asia,2318850,2338724,0.0086
Xuzhou,China,Asia,2287166,2332531,0.0198
Aleppo,Syria,Asia,2203025,2317650,0.052
Houston,United States,North America,2304383,2305889,0.0007
Tijuana,Mexico,North America,2259787,2297216,0.0166
Esfahan,Iran,Asia,2258396,2294589,0.016
Nashik,India,Asia,2237369,2294299,0.0254
Vijayawada,India,Asia,2229765,2290785,0.0274
Amman,Jordan,Asia,2232240,2252688,0.0092
Putian,China,Asia,2176022,2250104,0.034
Multan,Pakistan,Asia,2154600,2205407,0.0236
Grande Vitoria,Brazil,South America,2170513,2196818,0.0121
Wuhu Anhui,China,Asia,2124797,2195262,0.0332
Mecca,Saudi Arabia,Asia,2149928,2184560,0.0161
Kollam,India,Asia,2106606,2181940,0.0358
Naples,Italy,Europe,2179384,2180027,0.0003
Daegu,South Korea,Asia,2180997,2179929,-0.0005
Conakry,Guinea,Africa,2110937,2178596,0.0321
Yangzhou,China,Asia,2131291,2175102,0.0206
Havana,Cuba,Africa,2148930,2152518,0.0017
Taizhou Zhejiang,China,Asia,2102143,2152226,0.0238
Baoding,China,Asia,2107539,2149703,0.02
Perth,Australia,Oceania,2117997,2143491,0.012
Brussels,Belgium,Europe,2121992,2132178,0.0048
Linyi Shandong,China,Asia,2076364,2120049,0.021
